school_name,district,city,channel_group,utm_source,utm_medium,utm_campaign,utm_content
Yağlıbayat Ortaokulu,KARATAY,Konya,social_paid,instagram,paid_social,bursluluk_2026_school_coverage,karatay-yaglibayat-ortaokulu
Yarma İlkokulu,KARATAY,Konya,social_paid,facebook,paid_social,bursluluk_2026_school_coverage,karatay-yarma-ilkokulu
Yarma Ortaokulu,KARATAY,Konya,social_paid,youtube,paid_social,bursluluk_2026_school_coverage,karatay-yarma-ortaokulu
Yaşar Doğu Ortaokulu,KARATAY,Konya,outdoor_qr,konya_outdoor,qr,bursluluk_2026_school_coverage,karatay-yasar-dogu-ortaokulu
Yavuz Selim İlkokulu,KARATAY,Konya,mall_screen,konya_avm,screen,bursluluk_2026_school_coverage,karatay-yavuz-selim-ilkokulu
Yenikent İlkokulu,KARATAY,Konya,social_paid,instagram,paid_social,bursluluk_2026_school_coverage,karatay-yenikent-ilkokulu
YENİKENT ORTAOKULU,KARATAY,Konya,social_paid,facebook,paid_social,bursluluk_2026_school_coverage,karatay-yenikent-ortaokulu
Yusuf Gül İlkokulu,KARATAY,Konya,social_paid,youtube,paid_social,bursluluk_2026_school_coverage,karatay-yusuf-gul-ilkokulu
Zeliha Seymen İlkokulu,KARATAY,Konya,outdoor_qr,konya_outdoor,qr,bursluluk_2026_school_coverage,karatay-zeliha-seymen-ilkokulu
15 Temmuz Milli Birlik İlkokulu,MERAM,Konya,mall_screen,konya_avm,screen,bursluluk_2026_school_coverage,meram-15-temmuz-milli-birlik-ilkokulu
15 Temmuz Şehitleri İlkokulu,MERAM,Konya,social_paid,instagram,paid_social,bursluluk_2026_school_coverage,meram-15-temmuz-sehitleri-ilkokulu
24 Kasım İlkokulu,MERAM,Konya,social_paid,facebook,paid_social,bursluluk_2026_school_coverage,meram-24-kasim-ilkokulu
Abdussamet Fazilet Kuzucu İlkokulu,MERAM,Konya,social_paid,youtube,paid_social,bursluluk_2026_school_coverage,meram-abdussamet-fazilet-kuzucu-ilkokulu
Ahmet Azmi-Makbule Elberk İlkokulu,MERAM,Konya,outdoor_qr,konya_outdoor,qr,bursluluk_2026_school_coverage,meram-ahmet-azmi-makbule-elberk-ilkokulu
Ahmet Naci Gücüyener İlkokulu,MERAM,Konya,mall_screen,konya_avm,screen,bursluluk_2026_school_coverage,meram-ahmet-naci-gucuyener-ilkokulu
Ahmet Tevfik İleri İmam Hatip Ortaokulu,MERAM,Konya,social_paid,instagram,paid_social,bursluluk_2026_school_coverage,meram-ahmet-tevfik-ileri-imam-hatip-ortaokulu
Alakova İlkokulu,MERAM,Konya,social_paid,facebook,paid_social,bursluluk_2026_school_coverage,meram-alakova-ilkokulu
Alakova Ortaokulu,MERAM,Konya,social_paid,youtube,paid_social,bursluluk_2026_school_coverage,meram-alakova-ortaokulu
Ali İhsan Dayıoğlugil İlkokulu,MERAM,Konya,outdoor_qr,konya_outdoor,qr,bursluluk_2026_school_coverage,meram-ali-ihsan-dayioglugil-ilkokulu
Ali Taşoluk İlkokulu,MERAM,Konya,mall_screen,konya_avm,screen,bursluluk_2026_school_coverage,meram-ali-tasoluk-ilkokulu
Atatürk İlkokulu,MERAM,Konya,social_paid,instagram,paid_social,bursluluk_2026_school_coverage,meram-ataturk-ilkokulu
Aybahçe Mah. Ahmet Haşhaş İlkokulu,MERAM,Konya,social_paid,facebook,paid_social,bursluluk_2026_school_coverage,meram-aybahce-mah-ahmet-hashas-ilkokulu
Aybahçe Toki Şehit Süleyman Ballan İlkokulu,MERAM,Konya,social_paid,youtube,paid_social,bursluluk_2026_school_coverage,meram-aybahce-toki-sehit-suleyman-ballan-ilkokulu
Ayşe Sönmez İlkokulu,MERAM,Konya,outdoor_qr,konya_outdoor,qr,bursluluk_2026_school_coverage,meram-ayse-sonmez-ilkokulu
Boruktolu İlkokulu,MERAM,Konya,mall_screen,konya_avm,screen,bursluluk_2026_school_coverage,meram-boruktolu-ilkokulu
Boruktolu Ortaokulu,MERAM,Konya,social_paid,instagram,paid_social,bursluluk_2026_school_coverage,meram-boruktolu-ortaokulu
Çarıklar İlkokulu,MERAM,Konya,social_paid,facebook,paid_social,bursluluk_2026_school_coverage,meram-cariklar-ilkokulu
Çarıklar Ortaokulu,MERAM,Konya,social_paid,youtube,paid_social,bursluluk_2026_school_coverage,meram-cariklar-ortaokulu
Çayırbağı İmam Hatip Ortaokulu,MERAM,Konya,outdoor_qr,konya_outdoor,qr,bursluluk_2026_school_coverage,meram-cayirbagi-imam-hatip-ortaokulu
Celalettin Hakan Katırcı İmam Hatip Ortaokulu,MERAM,Konya,mall_screen,konya_avm,screen,bursluluk_2026_school_coverage,meram-celalettin-hakan-katirci-imam-hatip-ortaokulu
Çelebi Hüsameddin Anadolu İmam Hatip Lisesi,MERAM,Konya,social_paid,instagram,paid_social,bursluluk_2026_school_coverage,meram-celebi-husameddin-anadolu-imam-hatip-lisesi
Cemal Bardakçı İlkokulu,MERAM,Konya,social_paid,facebook,paid_social,bursluluk_2026_school_coverage,meram-cemal-bardakci-ilkokulu
Çomaklı İlkokulu,MERAM,Konya,social_paid,youtube,paid_social,bursluluk_2026_school_coverage,meram-comakli-ilkokulu
Çomaklı Talip Kahraman Ortaokulu,MERAM,Konya,outdoor_qr,konya_outdoor,qr,bursluluk_2026_school_coverage,meram-comakli-talip-kahraman-ortaokulu
Cumhuriyet İlkokulu,MERAM,Konya,mall_screen,konya_avm,screen,bursluluk_2026_school_coverage,meram-cumhuriyet-ilkokulu
Dere İmam Hatip Ortaokulu,MERAM,Konya,social_paid,instagram,paid_social,bursluluk_2026_school_coverage,meram-dere-imam-hatip-ortaokulu
Dr. Teoman Bilge İlkokulu,MERAM,Konya,social_paid,facebook,paid_social,bursluluk_2026_school_coverage,meram-dr-teoman-bilge-ilkokulu
Emlak Konut Temaşehir Ortaokulu,MERAM,Konya,social_paid,youtube,paid_social,bursluluk_2026_school_coverage,meram-emlak-konut-temasehir-ortaokulu
Faik Altıoklar İlkokulu,MERAM,Konya,outdoor_qr,konya_outdoor,qr,bursluluk_2026_school_coverage,meram-faik-altioklar-ilkokulu
Faik Altıoklar Ortaokulu,MERAM,Konya,mall_screen,konya_avm,screen,bursluluk_2026_school_coverage,meram-faik-altioklar-ortaokulu
Fatih Sultan Mehmet İlkokulu,MERAM,Konya,social_paid,instagram,paid_social,bursluluk_2026_school_coverage,meram-fatih-sultan-mehmet-ilkokulu
Fevzi Çakmak Ortaokulu,MERAM,Konya,social_paid,facebook,paid_social,bursluluk_2026_school_coverage,meram-fevzi-cakmak-ortaokulu
Gödene Orhan Gazi İmam Hatip Ortaokulu,MERAM,Konya,social_paid,youtube,paid_social,bursluluk_2026_school_coverage,meram-godene-orhan-gazi-imam-hatip-ortaokulu
Gödene Toki İmam Hatip Ortaokulu,MERAM,Konya,outdoor_qr,konya_outdoor,qr,bursluluk_2026_school_coverage,meram-godene-toki-imam-hatip-ortaokulu
Gödene Toki Şehit Abdullah Paltacı Ortaokulu,MERAM,Konya,mall_screen,konya_avm,screen,bursluluk_2026_school_coverage,meram-godene-toki-sehit-abdullah-paltaci-ortaokulu
Gökyurt İlkokulu,MERAM,Konya,social_paid,instagram,paid_social,bursluluk_2026_school_coverage,meram-gokyurt-ilkokulu
Gökyurt Ortaokulu,MERAM,Konya,social_paid,facebook,paid_social,bursluluk_2026_school_coverage,meram-gokyurt-ortaokulu
Güneydere İlkokulu,MERAM,Konya,social_paid,youtube,paid_social,bursluluk_2026_school_coverage,meram-guneydere-ilkokulu
Güneydere Ortaokulu,MERAM,Konya,outdoor_qr,konya_outdoor,qr,bursluluk_2026_school_coverage,meram-guneydere-ortaokulu
Hadimi Anadolu Lisesi,MERAM,Konya,mall_screen,konya_avm,screen,bursluluk_2026_school_coverage,meram-hadimi-anadolu-lisesi
Hanefi Aytekin İlkokulu,MERAM,Konya,social_paid,instagram,paid_social,bursluluk_2026_school_coverage,meram-hanefi-aytekin-ilkokulu
Hatıp İlkokulu,MERAM,Konya,social_paid,facebook,paid_social,bursluluk_2026_school_coverage,meram-hatip-ilkokulu
Hatıp Öğretmen Mahide Bahadırtürk Ortaokulu,MERAM,Konya,social_paid,youtube,paid_social,bursluluk_2026_school_coverage,meram-hatip-ogretmen-mahide-bahadirturk-ortaokulu
Hatunsaray İlkokulu,MERAM,Konya,outdoor_qr,konya_outdoor,qr,bursluluk_2026_school_coverage,meram-hatunsaray-ilkokulu
